Codigo,Clave,Descripcion,Adelitas,Adelitas,San Agustin,San Agustin,Matriz,Matriz,Berriozabal,Berriozabal,H Ilustres,H Ilustres
Codigo,Clave,Descripcion,Inv,Class,Inv,Class,Inv,Class,Inv,Class,Inv,Class
13999,TRU DR-1/4X6,DESARMADOR STD.BAR.RED. DR-1/4X6 TRUPER,3,A,3,A,12,A,5,A,4,C
40197,TRU ERA-10X16,VOLTECK EXTENCION USO RUDO 10 MTS. ERA-1,0,Sin Mov,0,Sin Mov,1,A,4,B,4,Sin Mov
29976,TRU GU-235P,GUANTE PRETUL GU-235P CARNAZA/TELA,1,A,6,A,1,A,4,B,3,C
49333,TRU CE-231,CONTRA DE PLASTICO P/LAVABO FOSET CE-231,4,B,0,Sin Mov,1,A,3,A,4,Sin Mov
27241,TRU ROD-200,RODILLERA ANTI-DERRAPANTE DOBLE CAPSULA,0,Sin Mov,1,B,5,A,0,Sin Mov,0,C
48046,TRU ER-10X16,VOLTECK EXTENCION USO RUDO 10 MTS. ER-10,6,A,2,A,25,A,4,A,4,Sin Mov
47195,TRU CCS-2,CENTRO CARGA VOLTECK 2 UNID. SOBRE. CCS-,0,A,4,A,1,A,4,A,4,Sin Mov
22012,TRU STI-12P,LLAVE STILLSON 12 STI-12P PRETUL,1,B,1,A,2,A,2,A,4,Sin Mov
14460,TRU ETA-10,ESPATULA TRUPER TAPIZADORA 10 ETA-10,2,B,3,B,2,A,3,B,4,C
23391,TRU RES-2-P,MASCARA RESPIRADOR DE 2 FILTROS RES-2-P,0,C,5,A,2,A,4,B,4,Sin Mov
23733,TRU LP-34,LONA PRETUL LP- 34 3 X 4 MTS.,1,A,0,A,5,A,0,A,1,C
19623,TRU DUO-3/16X4B,DESARMADOR DE 2 PZAS. 3/16 DUO-3/16X4B,0,Sin Mov,8,A,0,A,0,Sin Mov,4,C
25036,TRU CAS-NP,CASCO DE SEGURIDAD PRETUL NARANJA CAS-NP,1,B,5,B,8,A,4,Sin Mov,0,Sin Mov
43010,TRU LAE-120,LAMPARA LAE-120 7W 120 LED D/EMERGENCIA,0,Sin Mov,3,B,3,B,4,Sin Mov,0,Sin Mov
44-PG,RUG 44-PG,REGADERA FIG. 44-PG ARABIGA CROMADA CON,0,Sin Mov,0,B,0,A,1,C,0,Sin Mov
12668,TRU RC-DB-63,RETEN P/DESBROZADORA DES-63 TRUPER (RC-D,0,Sin Mov,0,Sin Mov,0,B,0,C,0,Sin Mov
101060,TRU BAPA-18,BARRA DE PALANCA BAPA-18 TRUPER,0,Sin Mov,0,Sin Mov,3,B,4,Sin Mov,0,Sin Mov
102378,TRU JBAM-3,BROCAS AVELLANADORAS P/MADERA C/3 PZAS.,0,Sin Mov,0,Sin Mov,3,B,4,Sin Mov,0,Sin Mov
101543,TRU CUL-5,CULTIVADOR P/JARDIN TRUPER 5 DIENTES C/M,0,Sin Mov,0,Sin Mov,1,B,4,C,0,Sin Mov
12355,TRU CUNU-N,CUBRENUCA P/CASCO C/REFLEJANTE CUNU-N T,0,B,4,B,2,B,4,C,0,Sin Mov
10328,TRU ASP-8,ASPERSOR BASE ALUMINIO 8 FUN. ASP-8 TRUP,0,Sin Mov,0,Sin Mov,0,A,4,C,0,Sin Mov
